,ID,acq-AP_run-01,acq-PA_run-01,acq-AP_run-02,acq-PA_run-02
139,010171,40.658000946,34.855506897,37.7046394348,37.8981246948
140,010172,39.7004852295,38.7870941162,31.5956802368,41.448513031
141,010173,44.6357078552,44.1229133606,46.9919090271,45.084186554
142,010174,42.0673408508,38.1560325623,37.8343429565,38.6574172974
143,010175,40.6271324158,34.3468017578,39.5073471069,34.7796401978
144,010176,40.147354126,35.7761611938,38.9902420044,41.2944488525
145,010178,42.0526657104,41.1417808533,44.5593185425,41.2056922913
146,010179,43.2747344971,35.7853279114,42.4662094116,41.7266616821
147,010181,45.9684257507,40.5771827698,45.1444549561,44.9624176025
148,010182,40.4570007324,37.8090057373,34.154335022,33.0756072998
149,010185,40.629119873,41.8557167053,44.8838310242,42.1347618103
150,010186,50.0743255615,45.6796531677,50.886516571,43.4258956909
151,010187,43.6011886597,37.7016067505,43.7168159485,37.298625946
152,010188,39.7545585632,34.9111480713,37.5013618469,39.2051391602
153,010189,41.1330871582,37.2338142395,43.9657058716,46.0536842346
154,010190,34.137008667,36.2558326721,37.9453430176,31.6603527069
155,010191,36.596862793,37.9201202393,43.0785980225,40.7628898621
156,010192,36.1055603027,39.7660522461,44.806552887,43.382522583
157,010194,34.3473129272,34.8787307739,31.9449043274,26.222038269
158,010195,34.5960845947,30.4358158112,36.026096344,33.7456436157
159,010196,44.923324585,40.7941360474,43.7237091064,43.4151763916
160,010198,40.6344795227,35.4470367432,35.3288879395,35.0684967041
161,010200,40.1247177124,35.4148330688,31.5711708069,29.9235992432
162,010201,57.5710144043,44.1663513184,46.8677558899,47.2418899536
163,010203,54.831111908,44.256313324,51.8973693848,54.5957756042
164,010204,40.1435241699,36.9893417358,43.1813049316,33.1237640381
165,010205,39.6776809692,39.9047546387,39.6255569458,27.5988292694
166,010206,41.8671646118,41.829788208,47.6153335571,40.64818573
167,010208,42.747756958,36.6388130188,39.953742981,36.5039176941
168,010209,41.9721374512,41.8432044983,46.8782081604,43.0332794189
